session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_050046,20241219_050046_000013,4,full,0,0.16653972241797232,0.14029797892340803,20241219_050046_000063
20241219_050046,20241219_050046_000014,4,full,0,0.03360654047588919,-0.04023130520822276,20241219_050046_000016
20241219_050046,20241219_050046_000015,4,full,0,0.04553075510139476,-0.03238264802414018,20241219_050046_000048
20241219_050046,20241219_050046_000016,4,full,0,-0.15099953572574515,-0.11204060344767353,20241219_050046_000013
20241219_050046,20241219_050046_000017,4,full,0,-0.16531432174870847,-0.21182539617804688,20241219_050046_000032
20241219_050046,20241219_050046_000018,4,full,0,0.02678379020489426,-0.02311428272010387,20241219_050046_000047
20241219_050046,20241219_050046_000019,4,full,0,-0.10785569845677519,-0.11943649404808,20241219_050046_000024
20241219_050046,20241219_050046_000020,4,full,0,0.23192502207021928,0.2908769040816722,20241219_050046_000057
20241219_050046,20241219_050046_000021,4,full,0,0.06165603015629153,0.02968488159694278,20241219_050046_000028
20241219_050046,20241219_050046_000022,4,full,0,0.1583810369872345,0.16502835533350987,20241219_050046_000031
20241219_050046,20241219_050046_000023,4,full,0,0.16029798265455994,0.1127662516170202,20241219_050046_000031
20241219_050046,20241219_050046_000024,4,full,0,-0.07693255433667079,-0.0792271203145171,20241219_050046_000052
20241219_050046,20241219_050046_000025,4,full,0,0.2461993257033024,0.2570875891293943,20241219_050046_000000
20241219_050046,20241219_050046_000026,4,full,0,0.41552578135248375,0.44895082634506017,20241219_050046_000019
20241219_050046,20241219_050046_000027,4,full,0,0.04385279603075364,0.05883533816132658,20241219_050046_000041
20241219_050046,20241219_050046_000028,4,full,0,-0.2517704078506338,-0.1595803229925024,20241219_050046_000055
20241219_050046,20241219_050046_000029,4,full,0,0.18142455492463735,0.19579004664635422,20241219_050046_000026
20241219_050046,20241219_050046_000030,4,full,0,-0.051411211406262904,-0.16200434012306242,20241219_050046_000011
20241219_050046,20241219_050046_000031,4,full,0,0.16738219197178406,0.1905069171267241,20241219_050046_000005
20241219_050046,20241219_050046_000032,4,full,0,0.13173259822221225,0.16625027499817785,20241219_050046_000025
