timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 23:40:01.269, 27955 MiB, 81920 MiB, 70 %, 91.45 W, 44
2026/09/07 23:40:31.270, 27955 MiB, 81920 MiB, 68 %, 93.79 W, 47
2026/09/07 23:41:01.272, 27955 MiB, 81920 MiB, 12 %, 75.66 W, 41
2026/09/07 23:41:31.273, 27955 MiB, 81920 MiB, 91 %, 91.22 W, 46
2026/09/07 23:42:01.274, 27955 MiB, 81920 MiB, 91 %, 204.27 W, 48
2026/09/07 23:42:31.281, 27955 MiB, 81920 MiB, 33 %, 100.59 W, 45
2026/09/07 23:43:01.282, 27955 MiB, 81920 MiB, 45 %, 97.82 W, 44
2026/09/07 23:43:31.284, 27955 MiB, 81920 MiB, 39 %, 95.95 W, 46
2026/09/07 23:44:01.285, 27955 MiB, 81920 MiB, 11 %, 90.34 W, 44
2026/09/07 23:44:31.287, 27955 MiB, 81920 MiB, 37 %, 108.42 W, 45
2026/09/07 23:45:01.295, 27955 MiB, 81920 MiB, 16 %, 137.14 W, 45
2026/09/07 23:45:31.297, 27955 MiB, 81920 MiB, 86 %, 281.17 W, 50
2026/09/07 23:46:01.299, 27955 MiB, 81920 MiB, 65 %, 278.19 W, 48
2026/09/07 23:46:31.300, 27955 MiB, 81920 MiB, 43 %, 100.10 W, 43
2026/09/07 23:47:01.302, 27955 MiB, 81920 MiB, 39 %, 234.23 W, 45
2026/09/07 23:47:31.303, 27955 MiB, 81920 MiB, 68 %, 90.95 W, 44
2026/09/07 23:48:01.304, 27955 MiB, 81920 MiB, 15 %, 279.68 W, 45
2026/09/07 23:48:31.305, 27955 MiB, 81920 MiB, 55 %, 90.02 W, 45
2026/09/07 23:49:01.306, 27955 MiB, 81920 MiB, 81 %, 203.85 W, 46
2026/09/07 23:49:31.307, 27955 MiB, 81920 MiB, 2 %, 77.12 W, 41
2026/09/07 23:50:01.309, 27955 MiB, 81920 MiB, 29 %, 105.42 W, 45
2026/09/07 23:50:31.311, 27955 MiB, 81920 MiB, 36 %, 116.06 W, 46
2026/09/07 23:51:01.312, 27955 MiB, 81920 MiB, 69 %, 96.45 W, 44
2026/09/07 23:51:31.313, 27955 MiB, 81920 MiB, 1 %, 238.03 W, 43
2026/09/07 23:52:01.316, 27955 MiB, 81920 MiB, 0 %, 90.16 W, 42
2026/09/07 23:52:31.320, 27955 MiB, 81920 MiB, 55 %, 114.98 W, 44
2026/09/07 23:53:01.321, 27955 MiB, 81920 MiB, 16 %, 94.21 W, 44
2026/09/07 23:53:31.326, 27955 MiB, 81920 MiB, 35 %, 167.94 W, 46
2026/09/07 23:54:01.327, 27955 MiB, 81920 MiB, 51 %, 109.73 W, 44
